sentence_id,plaintext,enc_bits,enc_bits_wo_ef,stegotext,ppl,enc_seed,used_bits,dec_bits
0,This is just a precious little diamond.,AzfEJLAk0Qo=,AzfEJLAk0Qo=,"I pondered, Where was the man's origin story told and was the camera even in frame with his offspring?  Bat",20.1617,4174115899,64,EMA=
1,"The play, the script are excellent.",clLDKvSGlQOA,A3jaZesu8XMg,"I observed fewer viewings for the latest installment compared to its prequel, ""The Overfiend Legend"". Though perhaps a sucker for all things vintage myself, my assessment of this picture un",13.6017,3624168225,72,IEA=
2,"I cant compare this movie with anything else, maybe except the movie ""Leon"" wonderfully played by Jean Reno and Natalie Portman.",62m3UllDQgiwClbuFIgIKdAuzIKo,CbPTNRwmjqwSpNHxQFtKeO5dkf+S,I'm glad to hear that you enjoyed the beach scenes with the sumohibachi papercutouts in Unknown. It' s easy for me to picture the humor. Watching it twice would afford you the opportunity for proper appreci ation of its details. Watching Sumo Beach can indeed provide some insight and entertainment for the senses,36.7645,1293464379,168,+ISCAA==
3,But... What can I say about this one?,cgU2RhOJpgA=,AwSpzNab7uA=,"Why is Josie re-animating flawlessly without any side effects, you ask? Well, it could be fate or destiny. Or, you know who knows?",17.2414,73272022,64,jCQCMEA=
4,"This is the best movie Anne Parillaud has ever played in (See please ""Frankie Starlight"", she's speaking English there) to see what I mean.",GcQ0AaUKdf1izKj0ajqv8WxYSzkHiZG8SAgql8NKoA==,DofYATnzpqm8iM9YTCzKobeQci4FDuEocA/M5X2MwA==,"Courtney Cox likewise plays an executive for the Miami Dolphins, named Melissa Robinson in the same movie. It seems like America is at the root reason of why the rest part. I got five is among one of the best original movies I have seen since Reservoir Dogs by Tarantinos' days.  It is quite obvious America has always been to blame.  I got tired represents everything that is good about it..   I want you to keep track of the input. There is so much more where that originated from",22.3628,1559277910,248,BsJSJSDggEBA
5,"The story of young punk girl Nikita, taken into the depraved world of the secret government forces has been exceptionally over used by Americans.",6Z5xEojsRWQJSYgIcRxirU82/BkeNRZZDoA=,C/nmr8x4mEWTXnlUFA9uCXLyMe1oVTuadqA=,"The appearance of Roderic McDOWell within this series aids significantly. It is essentially an insípido teen movie, created along lines akin to ""She's All That"" and its numerous precursor, in which the unremark able plain girl receives a transformación of form and all of her desíres become real.  Renée Houston possesses a worthy supporting role as MRS Burke who, though uneasy regarding H U S husband’s actions, happily collaborates in th e prof",24.1194,2676447288,208,qAA=
6,"Never mind the ""Point of no return"" and especially the ""La femme Nikita"" TV series.",CBHarUHKsTLuRAszgQgwiEk4,CBHarUHKsTLuRAszgQgwiEk4,"Armando Crispino's ""Autopsy"" opens with a two-minute montage of cosmic flares and gruesome selfies over the sultry humming of a woman. It dazed our sensibilities. On a whim, I grafted it to VHS, and I still hold on to the old recording.  Jessica Pare, a visionarily delightsome young woman who transforms seamlessly",14.5725,3359924056,144,CDCAMDBACMkwAhuCAAaMEABoEA==
7,They cannot compare the original believe me!,Fk+5uS8RqwWSlEA=,BHUu0coezfkc54A=,"When I saw "" LUST CAUTION"" yesterday ,, I wasn't sure What.To think .,  commies under yoke food supply was very poor, scenes of Eating fully cans meat might have attracted",19.0823,858203759,88,BQA=
8,"Trash these videos.Buy this one, do not rent it, BUY it.",B4qx6kxEZktgNRsJg/FoSWA=,B4qx6kxEZktgNRsJg/FoSWA=,"If you thought David Lynch's last opus, 'Inland Empire,' was not oddball enough... well, brace yourself.  MulHolland Drive will pale in comparison to its successor's weird, wormy charms. Chae appears to be our prime suspect as the kaleidoscope of events unfurls, even as murky flashes cast",17.9734,4171973901,136,AAA=
9,"BTW beware of the subtitles of the LA company which ""translate"" the US release.",CF8ohCfJoFcvdNKBRHHMNzcFgA==,CF8ohCfJoFcvdNKBRHHMNzcFgA==,"But I suppose as American funds funded it, a borrowed American warship was featured at the Gravelly Spee event, so Americans must be in here. Oh, there is much to like and appreciate about this timeless classic, with top actors who are first class, excellent writing and photography, as well as many beautiful historical details",22.4210,3868190519,152,ACRA
10,"What a disgrace!If you cant understand French, get a dubbed version.",ByEm2iEtOLqSW8GCFUOOPA==,ByEm2iEtOLqSW8GCFUOOPA==,"It's unlikely I would watch that film again soon, given it's not really my cup of tea in terms off entertainments. All I know aboutYe is he works to side of Chinese traitors who are paid for work by Japanese and have enjoyed great success under their patron's protection; he bolted away",22.0701,2283571349,128,gAA=
11,But you'll regret later :),8ljOKgITYGiA,A3SqS6lReQ2g,"Oh man, I can totally relate to you here! I absolutely adored that anime too, it's definitely my second fave behind ONE PIECE  lmao . But",15.2396,2159666555,72,iDARkAQUsRgA
