sentence_id,plaintext,enc_bits,enc_bits_wo_ef,stegotext,ppl,enc_seed,used_bits
0,This is just a precious little diamond.,AzfEJLAk0Qo=,AzfEJLAk0Qo=,!!!!</OU!><!!SY!ST!!!!!!!!!!SY!!ST!'!SY!!!!!!!!!!!!!!!!SY!STER!!sy!!!!SY!!!ST!!!!SY!]</sy></!!ST!SY!!!!SY,22.0125,4174115899,64
1,"The play, the script are excellent.",clLDKvSGlQOA,A3jaZesu8XMg,!!!!</URL></!SYSM!EX!!!<|endoftext|>!!! Copyright!!! -!!!!! Copyright! -®!©!!!!!!!!!!!!! Copyright!!!©®! Copyright and!!!©!! ©!!!!,33.8375,3624168225,72
2,"I cant compare this movie with anything else, maybe except the movie ""Leon"" wonderfully played by Jean Reno and Natalie Portman.",ySHG6mmJAqCVXRJyugqgIb/Y8KiK,CbPTNxwmjqwSpNHxQFtKeO5dkf+S,"!!!!Example!!</CON!! </EN!![/INST])<|endoftext|>!!!! A!!!! B!,! C!)!!!!!!!! A!!!! An!!!!!!!!!!!! A!!!!!!!! I!!!! A!!!!! The! A!! (!! B!!!!!! B!!!!!!! An!!! The A!!!! B!!!!!!!!!! A!!!!!!!!!!! A!!!!!!!!!! I! A!!!!!!!!!!! A!!!??!!!!! A!!!!!! (",30.1279,1293464379,168
3,But... What can I say about this one?,cgU2RhOJpgA=,AwSpzNab7uA=,"!!!ST!!!!!!St!</OU!!ST!]St!:!!ST!!""!!ST!'!!St!!!St!:st!!!ST!!!!St!""[/INST][/",33.2149,73272022,64
4,"This is the best movie Anne Parillaud has ever played in (See please ""Frankie Starlight"", she's speaking English there) to see what I mean.",GcQ0AaUKdf1izKj0ajqv8WxYSzkHiZG8SAgql8NKoA==,DofYATnzpqm8iM9YTCzKobeQci4FDuEocA/M5X2MwA==,!!!!!</UN!></!IN!!!!!</!!!!</!!ON!!![/ONT!](!!NOT!!!!GET!!!!!!!!!GET!!!!!!!!!) (!!!!ON!!))!!!!</!!!CONTEXT><!!!OB!!!!!!!!!!!GET!?!!!!!!!!!!!!!ON!!</OB>>!!!!!ST!!ON![/!!!OB!!!UN!!!!!!!!!!!!!!!!!!!!!!!!!!IM!!!!!!!,55.7387,1559277910,166
5,"The story of young punk girl Nikita, taken into the depraved world of the secret government forces has been exceptionally over used by Americans.",6Z5xEojsRWQJSYgIcRxirU82/BkeNRZZDoA=,C/nmr8x4mEWTXnlUFA9uCXLyMe1oVTuadqA=,!!!!</CON!EX!!!EX</COR!!EX></!OR!!!!!!!</!!!!OR><!EX!OR</!EXP!!!OR><!!!!EX></!!!!EX! EX!!!!!!!!</!EXP!] [!!!EX!SP!!!! EX!! SP!!SP ST!!EX!!!!!!!!!!!!SP!EX!]!!!?!!!!!!!!!!!!!!</!SP></!!!EX!!!!SP!!!EXT!!!!!!EX! SP!!OU!!!!,26.4230,2676447288,144
6,"Never mind the ""Point of no return"" and especially the ""La femme Nikita"" TV series.",CBHarUHKsTLuRAszgQgwiEk4,CBHarUHKsTLuRAszgQgwiEk4,"!!!!</OU!AST!!ASCRE!!!!!![/INST],!!...!!!</OUAST!!!ASCRE[/ST!!!ASCERE][/!!!!!!!ASC!!![/!!AST!]]!!!![/!!!AST]]!?!][!!!AST!!!!ASCRE!!![/!ST]]!!ES!!!!!!!!!!!![/!!AST]]!!![/ST!][/!AS!!!!!AST]]![/!!!",24.7848,3359924056,144
7,They cannot compare the original believe me!,lkn2AJY+uq6RAMA=,BHUu0coezfkY54A=,!!!!</OU![/INST>] [/COR!!][!CONTEXT CONT!!TITLE!!!!!!!!!!!]]!!!!!</!!CON!!][!]!!</!!CON!/!!TIT!!EXT!!!!!EXTRE!!!!!!!!!!!!!!!!!][!!!!EXT!OR!!!,24.9870,858203759,88
8,"Trash these videos.Buy this one, do not rent it, BUY it.",B4qx6kxEZktgNRsJg/FoSWA=,B4qx6kxEZktgNRsJg/FoSWA=,"!!!!</OU!CONNECT!!OUT!!!</COR!!![/INST][!ST!!!><!!!!!!!!><!ST></! ST!!!><ST!>>!!!</!!!!!!!]]!!!!!</!! ST!!!!<|endoftext|>!!! The! K!!!!!!!! System!!

!!!!!!!! KIS! -!!! D!!! B!",44.9520,4171973901,136
9,"BTW beware of the subtitles of the LA company which ""translate"" the US release.",CF8ohCfJoFcvdNKBRHHMNzcFgA==,CF8ohCfJoFcvdNKBRHHMNzcFgA==,"!!!![/OU!INST][/ON!]] The!The!!An!""!!!!!![/!!!!!ON!][!!ON][/!ST!!!!!][!!!!]]!!![/!ON]}!!</!!!!!!!!!!!!![/!!ON!!![/!!!IN!!!!]]![/!!ON!]] ]![/!!ON!!!!!]][/!ON!!!][!]]]!</ON!][/!OU!]!!!!!]]",24.3889,3868190519,152
10,"What a disgrace!If you cant understand French, get a dubbed version.",ByEm2iEtOLqSW8GCFUOOPA==,ByEm2iEtOLqSW8GCFUOOPA==,!!!!What!!!!!?!!!</OU!TPRET></!CON!![/OUTPRET][/INST][!!!ST!NAME!!SC!!!!!!!!!!!!SW!!!PR!!!!STRE!!!!!SC!BR!!!!!!!!]!!!!!!!!OUTPRET!!NAME[/!!!ST!]!!!SWAST!!!!PR[/!]][!,32.7404,2283571349,128
