sentence_id,plaintext,enc_bits,enc_bits_wo_ef
0,This is just a precious little diamond.,AzfEJLAk0Qo=,AzfEJLAk0Qo=
1,"The play, the script are excellent.",clLDKvSGlQOA,A3jaZesu8XMg
2,"I cant compare this movie with anything else, maybe except the movie ""Leon"" wonderfully played by Jean Reno and Natalie Portman.",ySHG6mmJAqCVXRJyugqgIb/Y8KiK,CbPTNxwmjqwSpNHxQFtKeO5dkf+S
3,But... What can I say about this one?,cgU2RhOJpgA=,AwSpzNab7uA=
4,"This is the best movie Anne Parillaud has ever played in (See please ""Frankie Starlight"", she's speaking English there) to see what I mean.",GcQ0AaUKdf1izKj0ajqv8WxYSzkHiZG8SAgql8NKoA==,DofYATnzpqm8iM9YTCzKobeQci4FDuEocA/M5X2MwA==
5,"The story of young punk girl Nikita, taken into the depraved world of the secret government forces has been exceptionally over used by Americans.",6Z5xEojsRWQJSYgIcRxirU82/BkeNRZZDoA=,C/nmr8x4mEWTXnlUFA9uCXLyMe1oVTuadqA=
6,"Never mind the ""Point of no return"" and especially the ""La femme Nikita"" TV series.",CBHarUHKsTLuRAszgQgwiEk4,CBHarUHKsTLuRAszgQgwiEk4
7,They cannot compare the original believe me!,lkn2AJY+uq6RAMA=,BHUu0coezfkY54A=
8,"Trash these videos.Buy this one, do not rent it, BUY it.",B4qx6kxEZktgNRsJg/FoSWA=,B4qx6kxEZktgNRsJg/FoSWA=
9,"BTW beware of the subtitles of the LA company which ""translate"" the US release.",CF8ohCfJoFcvdNKBRHHMNzcFgA==,CF8ohCfJoFcvdNKBRHHMNzcFgA==
10,"What a disgrace!If you cant understand French, get a dubbed version.",ByEm2iEtOLqSW8GCFUOOPA==,ByEm2iEtOLqSW8GCFUOOPA==
11,But you'll regret later :),8ljOKgITYGiA,A3SqS6lReQ2g
12,"When I say this is my favourite film of all time, that comment is not to be taken lightly.",1uFRRGGusEW6XGQA,BPWDakZN1DNqnakA
13,"I probably watch far too many films than is healthy for me, and have loved quite a few of them.",1SiNmABVHkosECyLmpQA,BlP/0v+yioZ+GEpliEwA
14,"I first saw ""La Femme Nikita"" nearly ten years ago, and it still manages to be my absolute favourite.",hmWewKBkqePBVwQhhCMA,BmP9PZ35ULNyJSEAhKeA
15,Why?This is more than an incredibly stylish and sexy thriller.,JLwcU8JZ44EDAY7pQAA=,Bc/lFle01gFWq1je/wA=
16,"Luc Besson's great flair for impeccable direction, fashion, and appropriate usage of music makes this a very watchable film.",HwYurwKins0sXBNcIZMQvO0i1r6KAA==,CgQ0ygM863Y3l+JoPuIfKLY8mysMAA==
17,"But it is Anne Parillaud's perfect rendering of a complex character who transforms from a heartless killer into a compassionate, vibrant young woman that makes this film beautiful.",msw1vIJgnVX8Rcu4gPk22kgYgxoITUmhjtUA,DISidXbJ37kRaBrKNWS/06OzTqKtJKprYAYA
