sentence_id,plaintext,enc_bits,enc_bits_wo_ef,stegotext,ppl,enc_seed,used_bits
0,This is just a precious little diamond.,AzfEJLAk0Qo=,AzfEJLAk0Qo=,"I pondered, Where was the man's origin story told and was the camera even in frame with his offspring?  Bat",20.1617,4174115899,64
1,"The play, the script are excellent.",clLDKvSGlQOA,A3jaZesu8XMg,"I observed fewer viewings for the latest installment compared to its prequel, ""The Overfiend Legend"". Though perhaps a sucker for all things vintage myself, my assessment of this picture un",13.6017,3624168225,72
2,"I cant compare this movie with anything else, maybe except the movie ""Leon"" wonderfully played by Jean Reno and Natalie Portman.",62m3UllDQgiwClbuFIgIKdAuzIKo,CbPTNRwmjqwSpNHxQFtKeO5dkf+S,I'm glad to hear that you enjoyed the beach scenes with the sumohibachi papercutouts in Unknown. It' s easy for me to picture the humor. Watching it twice would afford you the opportunity for proper appreci ation of its details. Watching Sumo Beach can indeed provide some insight and entertainment for the senses,36.7645,1293464379,168
3,But... What can I say about this one?,cgU2RhOJpgA=,AwSpzNab7uA=,"Why is Josie re-animating flawlessly without any side effects, you ask? Well, it could be fate or destiny. Or, you know who knows?",17.2414,73272022,64
4,"This is the best movie Anne Parillaud has ever played in (See please ""Frankie Starlight"", she's speaking English there) to see what I mean.",GcQ0AaUKdf1izKj0ajqv8WxYSzkHiZG8SAgql8NKoA==,DofYATnzpqm8iM9YTCzKobeQci4FDuEocA/M5X2MwA==,"Courtney Cox likewise plays an executive for the Miami Dolphins, named Melissa Robinson in the same movie. It seems like America is at the root reason of why the rest part. I got five is among one of the best original movies I have seen since Reservoir Dogs by Tarantinos' days.  It is quite obvious America has always been to blame.  I got tired represents everything that is good about it..   I want you to keep track of the input. There is so much more where that originated from",22.3628,1559277910,248
5,"The story of young punk girl Nikita, taken into the depraved world of the secret government forces has been exceptionally over used by Americans.",6Z5xEojsRWQJSYgIcRxirU82/BkeNRZZDoA=,C/nmr8x4mEWTXnlUFA9uCXLyMe1oVTuadqA=,"The appearance of Roderic McDOWell within this series aids significantly. It is essentially an insípido teen movie, created along lines akin to ""She's All That"" and its numerous precursor, in which the unremark able plain girl receives a transformación of form and all of her desíres become real.  Renée Houston possesses a worthy supporting role as MRS Burke who, though uneasy regarding H U S husband’s actions, happily collaborates in th e prof",24.1194,2676447288,208
6,"Never mind the ""Point of no return"" and especially the ""La femme Nikita"" TV series.",CBHarUHKsTLuRAszgQgwiEk4,CBHarUHKsTLuRAszgQgwiEk4,"Armando Crispino's ""Autopsy"" opens with a two-minute montage of cosmic flares and gruesome selfies over the sultry humming of a woman. It dazed our sensibilities. On a whim, I grafted it to VHS, and I still hold on to the old recording.  Jessica Pare, a visionarily delightsome young woman who transforms seamlessly",14.5725,3359924056,144
7,They cannot compare the original believe me!,Fk+5uS8RqwWSlEA=,BHUu0coezfkc54A=,"When I saw "" LUST CAUTION"" yesterday ,, I wasn't sure What.To think .,  commies under yoke food supply was very poor, scenes of Eating fully cans meat might have attracted",19.0823,858203759,88
8,"Trash these videos.Buy this one, do not rent it, BUY it.",B4qx6kxEZktgNRsJg/FoSWA=,B4qx6kxEZktgNRsJg/FoSWA=,"If you thought David Lynch's last opus, 'Inland Empire,' was not oddball enough... well, brace yourself.  MulHolland Drive will pale in comparison to its successor's weird, wormy charms. Chae appears to be our prime suspect as the kaleidoscope of events unfurls, even as murky flashes cast",17.9734,4171973901,136
9,"BTW beware of the subtitles of the LA company which ""translate"" the US release.",CF8ohCfJoFcvdNKBRHHMNzcFgA==,CF8ohCfJoFcvdNKBRHHMNzcFgA==,"But I suppose as American funds funded it, a borrowed American warship was featured at the Gravelly Spee event, so Americans must be in here. Oh, there is much to like and appreciate about this timeless classic, with top actors who are first class, excellent writing and photography, as well as many beautiful historical details",22.4210,3868190519,152
10,"What a disgrace!If you cant understand French, get a dubbed version.",ByEm2iEtOLqSW8GCFUOOPA==,ByEm2iEtOLqSW8GCFUOOPA==,"It's unlikely I would watch that film again soon, given it's not really my cup of tea in terms off entertainments. All I know aboutYe is he works to side of Chinese traitors who are paid for work by Japanese and have enjoyed great success under their patron's protection; he bolted away",22.0701,2283571349,128
11,But you'll regret later :),8ljOKgITYGiA,A3SqS6lReQ2g,"Oh man, I can totally relate to you here! I absolutely adored that anime too, it's definitely my second fave behind ONE PIECE  lmao . But",15.2396,2159666555,72
12,"When I say this is my favourite film of all time, that comment is not to be taken lightly.",1uFRRGGusEW6XGQA,BPWDakZN1DNqnakA,"Perhaps you are lookingfor something more exciting this time? Don’t worry; I may assist if that’s the case. If you are looking to experiment with an unusual film, this might be",25.2730,4112462818,96
13,"I probably watch far too many films than is healthy for me, and have loved quite a few of them.",1SiNmABVHkosECyLmpQA,BlP/0v+yioZ+GEpliEwA,"Evren’s inattention to detail annoyed his colleagues at work and caused them much frustration by consistently submitting incorrect reports. Despite his lack of dedication towards deadlines, they continued to rely on him",25.2737,2140960517,120
14,"I first saw ""La Femme Nikita"" nearly ten years ago, and it still manages to be my absolute favourite.",hmWewKBkqePBVwQhhCMA,BmP9PZ35ULNyJSEAhKeA,"The macabre and atmosphere are engrained within what we have inherited. The result is a product of Browning's craft.Ghosthouse is not even worth being used as a film, let alone in the eyes of a fattest woman on the world.Though this opinion seems harsh,",15.8955,3406181632,120
15,Why?This is more than an incredibly stylish and sexy thriller.,JLwcU8JZ44EDAY7pQAA=,Bc/lFle01gFWq1je/wA=,That's the only reason I appreciated this film.Two performers unexpectedly exited an aircraft midflight and discovered themselves on a mystical tropical island.That escalator stuns me— the most beautiful I'm familiar to seeing.There's only one detail that was challenging for me,11.7533,2459105001,112
16,"Luc Besson's great flair for impeccable direction, fashion, and appropriate usage of music makes this a very watchable film.",HwYurwKins0sXBNcIZMQvO0i1r6KAA==,CgQ0ygM863Y3l+JoPuIfKLY8mysMAA==,"She hijacked the youngster and fled.What scandalocious woman! In retrospective, it'd been my brainwave to watch that movie with your pal back in ' 93, and they enjoyed the picture! The film was exciting, and you got to witness Martin Laurence's finest acting since Remember the Titan. It'd also introduced you to the",26.8108,3618714477,176
17,"But it is Anne Parillaud's perfect rendering of a complex character who transforms from a heartless killer into a compassionate, vibrant young woman that makes this film beautiful.",TEzoUjClQkKAfptmljL0LpmIekiH9uDN1gZg,DISidWbJ37kRaBrKNWS/06OzTqKtJKprYAYA,"Mom moments flood back. Recall fondly of the previous one...? probably watching for the leads, silently...?  !!! ??.!  .?... !!!! ??.  Sounds good, mate!  ?!! Encore, anyone?   ??.  ._.  Wow, what a ride that is. ??.!  ...?... I think ,,!.. ",41.7388,2494878236,216
18,"I can't keep my eyes off of her when she is on screen.I have seen several of Luc Besson's films including ""Subway"", ""The Professional"", and the irritating ""Fifth Element"", and ""Nikita"" is without a doubt, far superior to any of these.",T8Di6ROLok5aQaKjBICuADmQDWghSoccVYsW5a1qHvI=,DzPfGJopMVvkAbkwBMxoiLK7tgir9dq3J/RT2C+TLDA=,"I wish we woulda had an Allison at home during my time... if I had a younger sistah, she'd have somеthing to strive for, like that Marlene Jobert. Email: davidjanmеllinger@yahоо.com。 It’s a shame you won't have her around to protect уou from all of the Bronson dilemmas. Thanks, Marlене! Love that naiveté! Fw: Marlee",35.1752,297152836,256
19,"Although this film has tragic elements, it is ultimately extremely hopeful.",BMbQjRDKK4goknwA,BMbQjRDKK4goknwA,"It was unthievable.Only gave a rating of two because it includes Jason, to whom I could watch the entire video without switching off, though it caused several emotional reactions and is still haunting me now",18.8206,4228272834,96
20,"It is the story of a person who is cruel and merciless, who ultimately comes to realize her own humanity and her own personal power.",B/NRMQs+u0E0mL5TQoSSlGzg,B/NRMQs+u0E0mL5TQoSSlGzg,"It was a good mystery. I gave the film a solid 8/10 rating. The older man delivered his lines with great passion and conviction. In the later scene, Cassavetes' slimy yet captivating performance made me uncomfortable. However, Amy Irvings' daring escape scene really stole the show. Her acting was nothing short of",14.1331,2715195834,144
21,"That, to me is extremely inspiring.",koG3A0PSCHA=,AwIn2ljEy2A=,Armies could move like in chess. It'll rain down upon the enemy great wrath. Kickboxing? You bet your,22.7185,2286573400,64
22,"If there is hope for Nikita, there is hope for all of us.",FgPS1RQoxC9CgA==,BAKcmefPeDWDAA==,"He spoke to an obscure stranger and compelling the latter to have involvement in the abduct of his daughters, while he himself was gripped with feelings of ble",20.8859,3839807174,80
23,I saw this movie because I am a huge fan of the TV series of the same name starring Roy Dupuis and Pet Wilson.,CLPbE7DBgSDhY/WguapBPCSRTA==,CLPbE7DBgSDhY/WguapBPCSRTA==,"American Kickboxer David, a hairless and scrawny, anti-social socipath and LAPD cop Mike Clark joined forces to find the kidnapped grandchild of a former inlaws, Lilly. Meanwhile , Jed is unaware that the Sherrif Hunt has swore to terminate Rudy.  The born once more members from the god squad have given this film",21.5238,3746072366,152
24,The movie was really good and I saw how the TV show is based on the movie.,digVwtUD4rtmhEbQ,BTkmBbo4K80Y3rsC,"It details the circumstrancers of her parents' divorce. Although Noah is represented by her, the elder son Walt, she is played by Elizabeth Báthory as 'Betty'. It is a complicated film and No Viewer will fully",22.7896,3078804712,96
