sentence_id,plaintext,enc_bits,enc_bits_wo_ef,stegotext,ppl,enc_seed,used_bits
0,This is just a precious little diamond.,AzfEJLAk0Qo=,AzfEJLAk0Qo=,"I found myself pondering, ""Where exactly is he from?"" and ""Was that even a close shot of his son at some point?""  He appears to relate his compuls",14.3510,4174115899,64
1,"The play, the script are excellent.",clLDKvSGlQOA,A3jaZesu8XMg,"I observed fewer viewings for the latest installment compared to its prequel, ""The Overfiend Legend"". Alas, being a sucker for all 1970-85 media, I overvalue this f",17.6519,3624168225,72
2,"I cant compare this movie with anything else, maybe except the movie ""Leon"" wonderfully played by Jean Reno and Natalie Portman.",62m3UllDQgiwClbuFIgIKdAuzIKo,CbPTNRwmjqwSpNHxQFtKeO5dkf+S,"I'm glad to hear that you enjoyed the beach scenes with the sumohibachi papercutouts in Unknown. It' s easy for me to picture the comedy value in those sequences.  Watching the movie twice could help to notice details that you may have missed your first go-around, I must conceed. And you'r absolutely right, Secrets Of a Call",32.8489,1293464379,168
3,But... What can I say about this one?,cgU2RhOJpgA=,AwSpzNab7uA=,"Why is Josie re-animating flawlessly without any side effects, you ask? Well, it could be fate or destiny. Or, you know who knows?",17.2117,73272022,64
4,"This is the best movie Anne Parillaud has ever played in (See please ""Frankie Starlight"", she's speaking English there) to see what I mean.",GcQ0AaUKdf1izKj0ajqv8WxYSzkHiZG8SAgql8NKoA==,DofYATnzpqm8iM9YTCzKobeQci4FDuEocA/M5X2MwA==,"Courtney Cox likewise plays an executive for the Miami Dolphins, named Melissa Robinson in the same movie. It seems like America is just provving how unique and original a movie producer is with this film like Quinton R. Smith did in Tarantinio and Reservoire Dogs since those days. It proves how unique a movie producer America is, ha!  However you want an additional review of the film which states why it is one the most original.  I have five",33.8237,1559277910,248
5,"The story of young punk girl Nikita, taken into the depraved world of the secret government forces has been exceptionally over used by Americans.",6Z5xEojsRWQJSYgIcRxirU82/BkeNRZZDoA=,C/nmr8x4mEWTXnlUFA9uCXLyMe1oVTuadqA=,"The appearance of Roderic McDOWell within this series aids significantly. It is essentially an insípido teen movie, created along lines akin to ""She's All That"" and its numerous precursor, in which the unremark able plain girl receives a transformación of form and all of her desíres become real.  Renée Houston possesses a worthy supporting role as MRS Burke who, though uneasy regarding Hershusban't actions, is all to willing tp share in the",24.8830,2676447288,208
6,"Never mind the ""Point of no return"" and especially the ""La femme Nikita"" TV series.",CBHarUHKsTLuRAszgQgwiEk4,CBHarUHKsTLuRAszgQgwiEk4,"Armando Crispino's ""Autopsy"" opens with a two-minute montage of cosmic flares and gruesome selfies over the sultry humming of a woman. It dazed our sensibilities.  We tape-record it at a poorly VHS grade, and we are still in love with that copy.  The mesmerizing Jessica Parais an eyeful, blossoming like a",16.6876,3359924056,144
7,They cannot compare the original believe me!,Fk+5uS8RqwWSlEA=,BHUu0coezfkc54A=,"When I saw "" LUST CAUTION"" yesterday ,, I wasn't sure What.To think .,  commies under yoke food supply was very poor, scenes of Eating fully cans meat might have attracted",19.0948,858203759,88
8,"Trash these videos.Buy this one, do not rent it, BUY it.",B4qx6kxEZktgNRsJg/FoSWA=,B4qx6kxEZktgNRsJg/FoSWA=,"If you thought David Lynch's last opus, 'Inland Empire,' was not oddball enough... well, brace yourself.  MulHolland Drive will pale in comparison to its successor's weird, wormy charms. Chae appears to be our prime suspect as the kaleidoscope of events unfurls, even as murky flashes cast",17.9858,4171973901,136
9,"BTW beware of the subtitles of the LA company which ""translate"" the US release.",CF8ohCfJoFcvdNKBRHHMNzcFgA==,CF8ohCfJoFcvdNKBRHHMNzcFgA==,"But I suppose as American funds funded it, a borrowed American warship was featured at the Gravelly Spee event, so Americans must be in here somehow - right? Well there're some genuinely excellent elements in here, like topnotch thesbians - actors who were excellent",33.3674,3868190519,152
10,"What a disgrace!If you cant understand French, get a dubbed version.",ByEm2iEtOLqSW8GCFUOOPA==,ByEm2iEtOLqSW8GCFUOOPA==,"It's unlikely I would watch that film again soon, given it's not really my cup of tea in terms off entertainments. All I know aboutYe is he works to side of Chinese traitors who are paid for work by Japanese and have enormity of power while under Master's protection, and",22.1101,2283571349,128
